"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"광주광역시 광산구 신흥동주민센터 회의실(2층)",광주광역시 광산구 신흥동주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,18:00,00:00,00:00,N,,,,,70,164,"음향, 냉난방. 책상, 의자","전화,방문",,광주광역시 광산구 신흥동안길 9,신흥동주민센터,신흥동주민센터,062-960-7634,,35.1452689,126.8006328,2015-09-18
"광주광역시 광산구 어룡동 주민센터 주민자치방",광주광역시 광산구 어룡동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,60,"조명, 냉난방, 책상, 의자, 단상","전화, 방문",,광주광역시 광산구 상무대로 265,어룡동주민센터,어룡동주민센터,062-960-7645,,35.1425345,126.7951313,2015-09-18
"광주광역시 광산구 우산동 주민센터 다목적실",광주광역시 광산구 우산동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",13:00,18:00,00:00,00:00,N,,,,,150,400,"음향, 빔프로젝트, 냉난방","전화, 방문",,광주광역시 광산구 무진대로 246-12,우산동주민센터,우산동주민센터,062-960-7663,,35.1600533,126.8070398,2015-09-18
"광주광역시 광산구 우산동 주민센터 중회의실",광주광역시 광산구 우산동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,45,100,"음향, 냉난방, 주차장","전화, 방문",,광주광역시 광산구 무진대로 246-12,우산동주민센터,우산동주민센터,062-960-7663,,35.1600533,126.8070398,2015-09-18
"광주광역시 광산구 우산동 주민센터 프로그램실",광주광역시 광산구 우산동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,20,60,"냉난방, 조명","전화, 방문",,광주광역시 광산구 무진대로 246-12,우산동주민센터,우산동주민센터,062-960-7663,,35.1600533,126.8070398,2015-09-18
"광주광역시 광산구 운남동 주민센터 대회의실",광주광역시 광산구 운남동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,150,319,"음향, 빔프로젝트, 냉난방, 조명",방문,,광주광역시 광산구 목련로217번길 10,운남동주민센터,운남동주민센터,062-960-7755,,35.1730207,126.8219798,2015-09-18
"광주광역시 광산구 운남동 주민센터 소회의실",광주광역시 광산구 운남동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,84,"음향, 빔프로젝트, 냉난방, 단상, 테이블",방문,,광주광역시 광산구 목련로217번길 10,운남동주민센터,운남동주민센터,062-960-7755,,35.1730207,126.8219798,2015-09-18
"광주광역시 광산구 월곡1동 주민센터 회의실",광주광역시 광산구 월곡1동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,276,"음향, 빔프로젝트, 냉난방, 책상, 의자",방문,,광주광역시 광산구 사암로 306,월곡1동주민센터,월곡1동주민센터,062-960-7673,,35.1717700,126.8097568,2015-09-18
"광주광역시 광산구 월곡2동 주민센터 회의실(2층)",광주광역시 광산구 월곡2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,20,272,"음향, 빔프로젝트, 냉난방","전화,방문",,광주광역시 광산구 산정공원로72번길 21-12,월곡2동주민센터,월곡2동주민센터,062-960-7688,,35.1743435,126.8077587,2015-09-18
"광주광역시 광산구 첨단2동 주민센터 회의실",광주광역시 광산구 첨단2동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,100,294,"음향, 빔프로젝트, 냉난방, 조명",방문,,광주광역시 광산구 첨단중앙로124번길 24,첨단2동주민센터,첨단2동주민센터,062-960-7713,,35.2163259,126.8434675,2015-09-18
